WARNING 2026-06-18 10:36:38,174 log 11708 7148 Bad Request: /api/v1/ai/copilot/
WARNING 2026-06-18 10:36:48,308 log 11708 7148 Unauthorized: /api/v1/auth/login/
WARNING 2026-06-18 10:36:48,847 log 11708 7148 Unauthorized: /api/v1/auth/profile/
WARNING 2026-06-18 10:36:52,766 log 11708 7148 Bad Request: /api/v1/crm/customers/
WARNING 2026-06-18 10:37:12,429 log 11708 7148 Bad Request: /api/v1/projects/
INFO 2026-06-18 10:37:23,715 autoreload 5584 3008 Watching for file changes with StatReloader
INFO 2026-06-18 10:44:21,271 basehttp 5584 10776 "OPTIONS /api/v1/auth/profile/ HTTP/1.1" 200 0
INFO 2026-06-18 10:44:21,277 basehttp 5584 5900 "OPTIONS /api/v1/notifications/unread-count/ HTTP/1.1" 200 0
INFO 2026-06-18 10:44:21,277 basehttp 5584 1752 "OPTIONS /api/v1/auth/profile/ HTTP/1.1" 200 0
INFO 2026-06-18 10:44:21,277 basehttp 5584 3988 "OPTIONS /api/v1/analytics/dashboard/ HTTP/1.1" 200 0
WARNING 2026-06-18 10:44:22,395 log 5584 10776 Unauthorized: /api/v1/auth/profile/
WARNING 2026-06-18 10:44:22,396 log 5584 5900 Unauthorized: /api/v1/analytics/dashboard/
WARNING 2026-06-18 10:44:22,396 log 5584 3988 Unauthorized: /api/v1/notifications/unread-count/
WARNING 2026-06-18 10:44:22,398 basehttp 5584 10776 "GET /api/v1/auth/profile/ HTTP/1.1" 401 183
WARNING 2026-06-18 10:44:22,399 basehttp 5584 5900 "GET /api/v1/analytics/dashboard/ HTTP/1.1" 401 183
WARNING 2026-06-18 10:44:22,399 basehttp 5584 3988 "GET /api/v1/notifications/unread-count/ HTTP/1.1" 401 183
WARNING 2026-06-18 10:44:22,421 log 5584 10776 Unauthorized: /api/v1/auth/profile/
INFO 2026-06-18 10:44:22,422 basehttp 5584 5900 "OPTIONS /api/v1/auth/token/refresh/ HTTP/1.1" 200 0
INFO 2026-06-18 10:44:22,422 basehttp 5584 1752 "OPTIONS /api/v1/auth/token/refresh/ HTTP/1.1" 200 0
INFO 2026-06-18 10:44:22,422 basehttp 5584 3988 "OPTIONS /api/v1/auth/token/refresh/ HTTP/1.1" 200 0
WARNING 2026-06-18 10:44:22,422 basehttp 5584 10776 "GET /api/v1/auth/profile/ HTTP/1.1" 401 183
INFO 2026-06-18 10:44:23,204 basehttp 5584 5900 "POST /api/v1/auth/token/refresh/ HTTP/1.1" 200 923
INFO 2026-06-18 10:44:23,219 basehttp 5584 1752 "POST /api/v1/auth/token/refresh/ HTTP/1.1" 200 923
INFO 2026-06-18 10:44:23,256 basehttp 5584 3988 "POST /api/v1/auth/token/refresh/ HTTP/1.1" 200 923
WARNING 2026-06-18 10:44:23,259 log 5584 5900 Unauthorized: /api/v1/notifications/unread-count/
WARNING 2026-06-18 10:44:23,263 log 5584 1752 Unauthorized: /api/v1/analytics/dashboard/
WARNING 2026-06-18 10:44:23,263 basehttp 5584 5900 "GET /api/v1/notifications/unread-count/ HTTP/1.1" 401 51
WARNING 2026-06-18 10:44:23,266 basehttp 5584 1752 "GET /api/v1/analytics/dashboard/ HTTP/1.1" 401 51
WARNING 2026-06-18 10:44:23,271 log 5584 3988 Unauthorized: /api/v1/auth/profile/
WARNING 2026-06-18 10:44:23,272 basehttp 5584 3988 "GET /api/v1/auth/profile/ HTTP/1.1" 401 51
